"_id","singkat","hasil"
"1","abis","habis"
"14","ad","ada"
"23","agency","perwakilan"
"30","aj","saja"
"31","aja","saja"
"32","ajah","saja"
"33","aje","saja"
"36","ak","saya"
"40","aku","saya"
"44","almt","alamat"
"46","alsn","alasan"
"51","ampe","sampai"
"55","ancur","hancur"
"56","ane","saya"
"57","anget","hangat"
"61","aq","saya"
"74","atu","satu-satu"
"75","atw","atau"
"82","bales","balas"
"86","bbrp","beberapa"
"88","bdg","bandung"
"92","bego","bodoh"
"103","Bgm","bagaimana"
"104","bgmn","bagaimana"
"106","bgn","bangun"
"107","bgt","banget"
"108","bgtu","begitu"
"109","bhs","bahasa"
"115","bkn","bukan"
"117","blg","bilang"
"118","blk","balik"
"119","blm","belum"
"120","bln","bulan"
"121","blng","bilang"
"123","blom","belum"
"125","bls","balas"
"127","blum","belum"
"130","bner","benar"
"131","bnr","benar"
"132","bnrn","beneran"
"133","bntr","sebentar"
"136","bnyk","banyak"
"139","bokap","ayah"
"140","bole","boleh"
"141","boong","bohong"
"144","bpk","bapak"
"148","brg","barang"
"149","brp","berapa"
"150","brpa","berapa"
"152","bru","baru"
"153","bs","bisa"
"154","bsa","bisa"
"157","bsk","besok"
"158","bsok","besok"
"159","bsr","besar"
"160","bth","butuh"
"162","btul","betul"
"171","bw","bawa"
"172","bwa","bawa"
"175","bwh","bawah"
"176","bwt","untuk"
"178","byk","banyak"
"179","byr","bayar"
"185","cape","capek"
"189","cb","coba"
"193","cepet","cepat"
"195","cewe","cewek"
"313","cowo","cowok"
"314","cpt","cepat"
"318","crt","cerita"
"322","cuman","cuma"
"326","cwo","cowok"
"329","dah","sudah"
"334","dateng","datang"
"337","dbls","dibalas"
"353","dg","dengan"
"354","dgn","dengan"
"355","dgr","dengar"
"357","dgrn","dengarkan"
"358","dh","sudah"
"365","dikit","sedikit"
"375","dipake","dipakai"
"431","ditemenin","ditemani"
"447","dituker","ditukar"
"465","dJkt","di Jakarta"
"466","djln","di jalan"
"468","dkat","dekat"
"470","dket","dekat"
"476","dkmps","di kampus"
"478","dksh","dikasih"
"479","dkt","dekat"
"481","dl","dulu"
"484","dlam","dalam"
"488","dll","dan lain-lain"
"489","dlm","dalam"
"491","dlu","dulu"
"492","dluan","duluan"
"500","dmn","dimana"
"501","dmna","dimana"
"511","dn","dan"
"512","dng","dengan"
